Week,Unnamed: 2,Unnamed: 3,Impressions,Clicks,Opens,Leads,Segment,Season,CountryISO,CountryName,Region,SubRegion,Publication,AdType,Treatment,BuyingBasis,Cost,Year,Month,Num_Week
2016-11-21,,,12964.0,42,746,0,Commercial,Evacuation,IT,Italy,Western Europe,South,Contatto Elettrico ,Email,Bespoke,Instance,1526.9548499999999,2016,11,47
2016-11-28,,,23000.0,148,2507,0,Commercial,Evacuation,IT,Italy,Western Europe,South,Il giornale dell'installatore Elettrico,Email,Bespoke,Instance,1620.7609499999999,2016,11,48
2016-11-14,,,23520.0,125,3179,0,Commercial,Evacuation,IT,Italy,Western Europe,South,L'impianto elettrico,Email,Newsletter advertorial,Instance,1907.3907,2016,11,46
2016-08-15,,,12419.0,52,1875,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Email,Bespoke,Instance,1178.5331999999999,2016,8,33
2016-09-12,,,12521.0,111,2115,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Email,Bespoke,Instance,1178.5331999999999,2016,9,37
2016-10-03,,,12502.0,53,2041,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Email,Bespoke,Instance,1178.5331999999999,2016,10,40
2016-08-01,,,572.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,31
2016-08-08,,,1441.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,32
2016-08-15,,,1183.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,33
2016-08-22,,,1069.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,34
2016-08-29,,,1285.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,35
2016-09-05,,,1775.0,6,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,36
2016-09-12,,,1899.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,37
2016-09-19,,,2026.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,38
2016-09-26,,,1696.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,39
2016-10-03,,,1205.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,40
2016-10-10,,,1866.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,41
2016-10-17,,,1429.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,42
2016-10-24,,,1339.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,43
2016-10-31,,,1948.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,44
2016-11-07,,,2048.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,45
2016-11-14,,,1889.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,46
2016-11-21,,,1292.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,47
2016-11-28,,,1349.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,48
2016-12-05,,,1766.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,49
2016-12-12,,,1839.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,50
2016-12-19,,,1127.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,51
2016-12-26,,,516.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,52
2017-01-02,,,3423.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,1
2017-01-09,,,4380.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,2
2017-01-16,,,4772.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,3
2017-01-23,,,4475.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,4
2017-01-30,,,3153.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,5
2017-02-06,,,2775.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,6
2017-02-13,,,2715.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,7
2017-02-20,,,2579.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,8
2017-02-27,,,3448.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,9
2016-08-01,,,576.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,31
2016-08-08,,,1534.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,32
2016-08-15,,,1230.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,33
2016-08-22,,,1085.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,34
2016-08-29,,,1247.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,35
2016-09-05,,,1839.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,36
2016-09-12,,,1961.0,5,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,37
2016-09-19,,,2095.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,38
2016-09-26,,,1697.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,39
2016-10-03,,,1262.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,40
2016-10-10,,,1986.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,41
2016-10-17,,,1531.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,42
2016-10-24,,,1387.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,43
2016-10-31,,,1960.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,44
2016-11-07,,,1987.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,45
2016-11-14,,,1856.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,46
2016-11-21,,,1224.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,47
2016-11-28,,,1386.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,48
2016-12-05,,,1765.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,49
2016-12-12,,,1796.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,50
2016-12-19,,,1135.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,51
2016-12-26,,,528.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,52
2017-01-02,,,3401.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,1
2017-01-09,,,4232.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,2
2017-01-16,,,4912.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,3
2017-01-23,,,4508.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,4
2017-01-30,,,3205.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,5
2017-02-06,,,2629.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,6
2017-02-13,,,2715.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,7
2017-02-20,,,2496.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,8
2017-02-27,,,3347.0,6,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,9
2016-08-01,,,620.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,31
2016-08-08,,,1444.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,32
2016-08-15,,,1164.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,33
2016-08-22,,,996.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,34
2016-08-29,,,1274.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,8,35
2016-09-05,,,1874.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,36
2016-09-12,,,1917.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,37
2016-09-19,,,1925.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,38
2016-09-26,,,1702.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,9,39
2016-10-03,,,1228.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,40
2016-10-10,,,1927.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,41
2016-10-17,,,1401.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,42
2016-10-24,,,1338.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,43
2016-10-31,,,1929.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,10,44
2016-11-07,,,2042.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,45
2016-11-14,,,1855.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,46
2016-11-21,,,1263.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,47
2016-11-28,,,1443.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,11,48
2016-12-05,,,1793.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,49
2016-12-12,,,1765.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,50
2016-12-19,,,1181.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,51
2016-12-26,,,526.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2016,12,52
